pathway	pval	padj	log2err	ES	NES	size	leadingEdge	pathway_id	pathway_name
R-HSA-399721 :: Glutamate binding, activation of AMPA receptors and synaptic plasticity	0.401709401709402	0.480394748435986	0.0949751525905595	-0.31447681902678	-1.04368447226864	25	PRKCB;AKAP5;GRIA4;PRKCA;CAMK2B;CAMK2D;GRIP1	R-HSA-399721	Glutamate binding, activation of AMPA receptors and synaptic plasticity
R-HSA-4791275 :: Signaling by WNT in cancer	0.402127659574468	0.480444656944777	0.0946646223153342	-0.286833637792542	-1.0373959551571	34	LRP6;RNF43;WNT3A;TCF7L2;FZD8;GSK3B;TNKS;DKK2;FZD4;APC;LRP5;AMER1	R-HSA-4791275	Signaling by WNT in cancer
R-HSA-199220 :: Vitamin B5 (pantothenate) metabolism	0.406844106463878	0.484701359368761	0.0875697115548511	0.330935106737686	1.02843013941954	20	SLC5A6;COASY;VNN1;NUDT8	R-HSA-199220	Vitamin B5 (pantothenate) metabolism
R-HSA-1296041 :: Activation of G protein gated Potassium channels	0.407969639468691	0.484701359368761	0.0873098257637931	0.353200596533423	1.02344706343692	15	KCNJ15;GNB2;KCNJ2;GNB5	R-HSA-1296041	Activation of G protein gated Potassium channels
R-HSA-1296059 :: G protein gated Potassium channels	0.407969639468691	0.484701359368761	0.0873098257637931	0.353200596533423	1.02344706343692	15	KCNJ15;GNB2;KCNJ2;GNB5	R-HSA-1296059	G protein gated Potassium channels
R-HSA-997272 :: Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits	0.407969639468691	0.484701359368761	0.0873098257637931	0.353200596533423	1.02344706343692	15	KCNJ15;GNB2;KCNJ2;GNB5	R-HSA-997272	Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits
R-HSA-8936459 :: RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	0.407407407407407	0.484701359368761	0.0952879846194844	-0.2954148005298	-1.04806191944515	33	KMT2A;KMT2C;AGO3;AGO4;MOV10;TNRC6B;TNRC6A;SIN3A;NFE2;TNRC6C;MYL9;KMT2D	R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function
R-HSA-9614657 :: FOXO-mediated transcription of cell death genes	0.406708595387841	0.484701359368761	0.0931454575337804	-0.359623056011811	-1.05600504223404	16	FOXO1;BBC3;BCL6;CREBBP;FOXO4	R-HSA-9614657	FOXO-mediated transcription of cell death genes
R-HSA-4655427 :: SUMOylation of DNA methylation proteins	0.411428571428571	0.487902283590016	0.0870515867946735	0.352509119856998	1.03638003542448	16	CBX2;DNMT1;DNMT3B	R-HSA-4655427	SUMOylation of DNA methylation proteins
R-HSA-189200 :: Cellular hexose transport	0.411428571428571	0.487902283590016	0.0870515867946735	0.352267992654916	1.0356711192457	16	SLC5A1;SLC2A8;SLC2A9;SLC50A1;SLC2A3;SLC2A6	R-HSA-189200	Cellular hexose transport
