gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CHTF8	807.223572077597	0.0958507781886892	0.0317047017392041	3.02049274955763	0.00252363750193195	0.00402773538490433
ARRDC4	2633.13338667127	-0.222218383132047	0.0769159837016301	-3.01842377322124	0.00254093315564452	0.00405503241911848
CDC27	1267.69274630448	0.122334014005337	0.0406984176654755	3.01814325030034	0.00254328652114459	0.00405848098054462
IGSF6	107.794468978476	0.341028614193754	0.115061845246413	3.01784492980468	0.00254579138131053	0.0040621707512921
RP3-486I3.7	4.82905309796502	-0.735290007177312	0.267722396914964	-3.01776882392939	0.00254643076851335	0.00406288356256409
PGM5P1	9.17526280448388	-0.561618679264685	0.188192722905934	-3.01734628791233	0.00254998328633153	0.00406824387518228
RASGRP3	57.9298385236802	0.288705448841035	0.0944002874087471	3.01688278974156	0.00255388541059629	0.00407416109680418
NPIPB11	6.36604177909091	-0.695656702332639	0.237147209840869	-3.01597751387346	0.00256152255082449	0.00408603536700354
CTD-2619J13.3	7.00503202082293	-0.538631062219416	0.181211490615982	-3.01574606425161	0.00256347846899121	0.00408884607473614
CC2D2B	5.62757209411822	-0.693673494377392	0.224801426758065	-3.01569124675431	0.00256394191683857	0.00408927599018997
NR1H2	782.981902387488	0.0959780989969789	0.031988295907934	3.01515486248133	0.0025684807568559	0.00409620526359959
LRRC29	19.5092172078945	-0.418823370109269	0.135944203673545	-3.01418585689935	0.00257669903443975	0.00410900100107876
FAM110A	443.686244175604	-0.263801360788462	0.0879133333666108	-3.01399224509268	0.00257834396375557	0.0041113132330947
LCE1F	667.906457400262	-0.439142454963044	0.155478293212474	-3.01342034907791	0.00258320841113169	0.00411875842839446
RP11-890B15.2	5.01127381097549	-0.640778941375647	0.226069023276585	-3.01336563749096	0.00258367421784778	0.00411918968065124
NCF1	9.86872911837248	0.557270863936637	0.180871498679489	3.01297431834742	0.00258700809351722	0.00412419312640544
MIF-AS1	19.1103318389735	-0.509871461413637	0.160373872065996	-3.01158672265004	0.00259886155747913	0.00414277666672612
SLC4A1AP	655.837799699564	0.111513725046254	0.0370132653877075	3.01137930681658	0.00260063765636729	0.00414529455007358
APEX1	1100.73002825951	0.174844737250928	0.0580411240040068	3.01030975899761	0.0026098138076837	0.0041596064981055
G23048	5.45341889755829	-0.714210679360101	0.228498575499495	-3.00995514748239	0.00261286271376231	0.00416415121733823
RP11-278C7.5	11.4823093870292	-0.511149340252286	0.176465750110364	-3.00990913990329	0.00261325851981216	0.00416446729130195
RP11-359B20.1	4.86112301372087	-0.704626345654796	0.257959021192021	-3.0098543539847	0.00261372991796069	0.00416490377134313
TESK2	335.040915604925	-0.189533058566875	0.0631131767307652	-3.00981208715503	0.00261409365039577	0.00416516863615761
RP11-188P20.3	6.42986117600871	-0.596082351735234	0.200283487933481	-3.00925589825273	0.00261888431578285	0.00417217137200489
ACOT13	295.42100029055	0.165792725750361	0.0548558349422387	3.00927880818335	0.00261868682549785	0.00417217137200489
PID1	200.566962588709	-0.413909888021854	0.128095075344392	-3.00890271404465	0.0026219305901062	0.00417670888987457
SMIM4	128.923545966265	0.159677485741867	0.0529889069525253	3.00834723679498	0.00262672823083894	0.00418403542049486
FBXO28	3144.15797275133	-0.134204768581762	0.0447190041739741	-3.00826005956796	0.00262748190614588	0.0041849198215109
ATP6AP2	3343.59701814934	0.109840955945104	0.0366394924878148	3.00791296671314	0.00263048459685512	0.00418938593599281
ZNF738	32.9835554183751	-0.339923487797443	0.111703770019343	-3.00737966987542	0.00263510424592205	0.00419642639616403
GGA3	433.090333949288	-0.135821847221228	0.045292084686184	-3.00675300789759	0.00264054214115703	0.0042047687587948
EPDR1	48.6148756979785	-0.483703905191199	0.160024356762547	-3.00658922242042	0.00264196508885615	0.00420671698835688
CD14	170.422052022951	0.454171662489046	0.168458916599272	3.00618037602096	0.00264552015424622	0.00421205957061112
TBC1D30	15.6037163811767	0.468822214703455	0.161325498342958	3.00519796663257	0.00265408043841642	0.00422518045021467
UNC50	525.837231016814	-0.11623145822807	0.0387510435196248	-3.00518863565372	0.00265416186570532	0.00422518045021467
PRPS2	950.661983236655	0.133633377639882	0.0443976752055231	3.00515748438277	0.00265443372548343	0.00422529426351106
UBXN1	953.450630025661	0.104391943538402	0.0347631936187976	3.00495317466138	0.00265621738467383	0.00422781434130891
SCAF4	441.191118017007	-0.131847877082315	0.0438523539208146	-3.00413067356446	0.00266340904885751	0.00423894113375903
RFX3-AS1	18.267725118521	-0.540597845953168	0.180304858759528	-3.00375641832822	0.00266668729410935	0.00424383832602656
DUOXA2	31.9570235734464	0.365040264412382	0.120107993514126	3.00336966007062	0.00267007893238773	0.00424891522232059
S100B	121.322596932683	-0.457998062343237	0.151729959135551	-3.00316279067848	0.00267189467091986	0.00425148380143047
CFLAR	2808.03006461131	0.138194630105777	0.0459371326570147	3.00241749713558	0.00267844563788363	0.00426158605792138
CTD-2020K17.1	9.22844249596641	0.621447761116855	0.223868980682123	3.00231308934676	0.0026793645307426	0.00426272645977367
SCN5A	8.23996526637228	-0.5469449109111	0.192329464549486	-3.00193541140597	0.00268269088042605	0.00426769653639292
ACSBG2	10.4360658310508	-0.503453619213277	0.165266415456492	-3.00146126220828	0.00268687223102874	0.00427402591898122
SNAPIN	341.701155112993	0.12143450511247	0.0403797080043013	3.00122566552613	0.00268895208719596	0.00427701173742558
LIX1L	172.156856959286	-0.289605358031156	0.0943620416389779	-3.00072017427187	0.00269341954818904	0.00428379451181918
RNASEK	21.7893696173571	0.389548998613271	0.13385169024262	2.9998973901044	0.00270070570626473	0.00429505896935978
SNHG20	315.908586531676	-0.191775741629971	0.0637515569297302	-2.99978777447123	0.00270167776494551	0.00429628087679442
RP4-751H13.5	6.29957871157266	-0.636525143829362	0.213203935198312	-2.99961739512887	0.00270318930379143	0.00429836043118335
RP11-244F12.3	4.87515680178426	-0.758207897966538	0.274188733294615	-2.99949946807897	0.00270423595890355	0.00429970051280691
CYB5D2	216.182312722798	0.152607913559455	0.0510332149387977	2.99924060234564	0.00270653480635387	0.00430303121203185
CMKLR1	87.7271870463031	-0.523773707152319	0.165483776356272	-2.99908093598515	0.00270795360769232	0.00430496235801098
ADA	45.967039950634	0.305179448486174	0.0995618266711508	2.99843061915393	0.00271373937134872	0.00431383505676178
CECR7	90.5041242357281	-0.296195876398654	0.0950631225902648	-2.99742708117686	0.00272268985257672	0.00432773676122243
GAPT	20.2095129665405	-0.445188337254744	0.153545255198826	-2.99716849722805	0.00272500050991457	0.00433108311373821
RP11-486I11.2	8.92880373848529	-0.499065997770893	0.16456853067995	-2.99687846712018	0.00272759429579109	0.00433487892905588
THUMPD2	281.627257140689	0.15459917419323	0.051694628654402	2.99653434712162	0.00273067474203551	0.00433944754785568
RCSD1	76.4403368298932	0.321251748462203	0.109442484240046	2.99593167456851	0.00273607732226655	0.00434770541571525
LINC00518	14.5137919040194	0.724077560272533	0.264544087303911	2.99407549418681	0.00275277822298735	0.00437391404207031
BAD	105.499199114348	-0.207729845015293	0.0697433510897575	-2.99264738151064	0.00276569093198087	0.00439410008088695
MARCO	74.0139644549631	-0.629194280489878	0.181856365597782	-2.99251690653835	0.00276687341458928	0.00439564762444318
MMD	207.452719102039	-0.252174042996028	0.0845506745054498	-2.99228751076908	0.00276895352700351	0.00439862086459134
AGFG1	1785.75320403976	0.136613726242124	0.0454212311681976	2.9906835788077	0.00278353759918188	0.00442145532476255
ATG7	673.043940914145	0.115259914416521	0.0385263056207098	2.99057194887034	0.00278455522339785	0.00442273861196158
CSNK1G1	703.178792374154	0.134366692753699	0.0449316772180566	2.99049902805181	0.0027852201567737	0.0044234615654499
AMN1	65.283521871956	-0.233321621101129	0.0778214714485535	-2.99008483439049	0.00278899976149318	0.00442913073050442
CHCHD7	384.974017559566	-0.138339866229346	0.0462026991645019	-2.98985947638247	0.00279105816812447	0.00443206586215428
AP000925.2	5.38106981034068	-0.695409035915825	0.231778139497924	-2.98939238935442	0.00279532893200577	0.00443851340397091
RP11-110G21.1	40.5697109326433	-0.274401191216684	0.0917610159011968	-2.98919161352258	0.00279716653930949	0.00444109682133402
SLC5A2	6.25491955685676	-0.620255364037379	0.208667689271699	-2.98865311042086	0.00280210065545063	0.00444859584597929
TRIM13	1208.24374525264	0.178315147091651	0.0590021863991638	2.98857660707984	0.00280280227335111	0.00444937476215209
TECTA	8.16051180292211	-0.548734843513145	0.181372949264437	-2.98834122073801	0.00280496202556144	0.00445246813662323
SLC9A3	28.6961686431258	0.489759223039149	0.151109150312908	2.98827551330164	0.00280556518561198	0.00445309036837162
PCED1B	11.5327710804504	0.570340061180504	0.201098199224926	2.98784406981023	0.00280952855529443	0.00445904554632715
C17orf78	8.84440251384476	-0.548275321794489	0.18460558349874	-2.98745111570877	0.00281314279835063	0.00446444576547396
ALG11	171.572272804043	-0.170416242683708	0.056930412476499	-2.98691144406466	0.00281811341363544	0.0044719975669158
RASSF4	98.9919574373077	0.370091966235445	0.119362858764431	2.98659650867718	0.00282101781274245	0.00447626964899269
ODC1	670.050898742874	0.465324859344397	0.14110094146749	2.98650295844544	0.00282188107868457	0.00447730254964264
CLNK	16.9943837311471	-0.529978247870866	0.165591510396152	-2.98637636400487	0.00282304965516299	0.00447881967560015
PPIG	1704.55438828464	-0.124150256818081	0.0415189867562903	-2.9863306255561	0.00282347196936984	0.00447915270368398
QSOX2	295.999108012341	-0.196360498418946	0.0665540247350188	-2.98612228401361	0.00282539636739827	0.0044818684064762
LDHD	67.8791257555795	-0.568844440564478	0.165812622571955	-2.98601522812112	0.00282638568130555	0.00448310050751195
TSPAN7	54.9350402236545	-0.326054545757746	0.105766250852626	-2.98494241447648	0.0028363171381748	0.00449822221501704
SNHG25	135.061464208321	0.290359139492446	0.100816373054634	2.98491631650167	0.00283655913388166	0.00449822221501704
LEMD3	998.957876895814	-0.0941785438571448	0.0315477660941974	-2.98491758311943	0.00283654738862473	0.00449822221501704
RNF166	75.5034487210354	0.230584101942608	0.0772956160683186	2.98486594600336	0.00283702625194931	0.00449862467863051
SAFB2	463.722619559725	0.112916316656459	0.0378722966016755	2.98459666298668	0.002839524678426	0.00450224785102613
SLC25A46	2358.93141080205	0.0901328263194633	0.0301665053082912	2.98225529639754	0.00286133286028942	0.0045364850280267
HPCA	8.74270080352961	0.521777629530082	0.16996649117655	2.98205775197029	0.00286317982464036	0.0045390720299215
ADRA2B	5.1291549449228	-0.73635843035428	0.24783063354686	-2.98196661082123	0.00286403232616492	0.00454008221409951
ETFB	103.021469994639	0.174300387220983	0.0576493081583547	2.98046352049712	0.00287812515732659	0.00456207932333908
RBM15B	1631.72501893711	0.121844597956876	0.0411041583806645	2.98025683508338	0.00288006796302313	0.00456481572373031
RP4-665J23.1	7.69020290582941	-0.696086830007732	0.233029131688683	-2.97911301026904	0.00289084137218535	0.00458154688536334
NPIPB4	53.9473787467079	-0.379079486627773	0.128609235546311	-2.97877557758133	0.00289402658841953	0.00458625029658008
ORC2	542.32656365094	-0.125188776262035	0.0423262887560925	-2.97871702628663	0.00289457961295273	0.00458678200164918
SYT15	31.1602771184456	-0.415298104720615	0.138804072563577	-2.97835812085562	0.00289797162944979	0.00459181198601226
CD1C	76.6799085112859	0.506140692221671	0.166358063105085	2.97809029679847	0.00290050519904008	0.0045954811147526
C11orf42	8.69332006404508	-0.655635283923611	0.221167257049547	-2.97776658414291	0.00290357016370322	0.00459999155677061
TOMM5	63.0651064224548	0.285184553340562	0.0965230226394411	2.9770402991205	0.00291045750907543	0.00461055648673247
LSM6	217.362777898018	0.127129543452302	0.0436074112660695	2.97597557400611	0.00292058122929226	0.00462624629785286
PIK3CG	119.876940043306	0.289610657006211	0.0961298362461515	2.97560848787856	0.00292407903589195	0.00463143898970177
RP11-304F15.3	15.840202099282	-0.417007970262627	0.145522492078571	-2.97500668928259	0.00292982158940124	0.00464018608165929
RP11-973H7.3	28.2869375244882	-0.31105472748893	0.105232110421807	-2.9747212660405	0.00293254878538673	0.0046441565624989
RP11-347H15.1	8.36995708842472	-0.496511402673056	0.285216396636392	-2.97466635161356	0.0029330737539593	0.00464463913219898
RPL32P1	5.23904740336215	0.686250423354711	0.238782879781041	2.97381179876514	0.00294125413061703	0.00465724336285117
RP11-333I13.1	5.34663261003242	-0.776834766891706	0.265724137991184	-2.97339281521168	0.00294527253551334	0.00466325604241349
AL133262.1	4.78114449999421	-0.727362074892457	0.23479268981343	-2.97329923474468	0.00294617073511113	0.00466401462849763
DBF4B	40.7006995548581	0.306953511910362	0.106021402378838	2.97329681221475	0.0029461939902417	0.00466401462849763
RP11-421M1.8	6.5056948181762	-0.603125802081393	0.211194923686405	-2.97324561173816	0.00294668552955248	0.00466402512445338
FBXO11	773.329462831213	0.124629189300092	0.0418751378929562	2.97324289201081	0.00294671164181082	0.00466402512445338
TMEM106C	557.514522021451	0.118406828995315	0.0397423771895865	2.97322701008817	0.00294686412927811	0.00466402512445338
TDRD1	6.43074488381032	-0.760861576969855	0.312583496591312	-2.97302566893477	0.00294879789508121	0.00466673546052326
RP11-404P21.9	6.11599202991528	0.571225360941699	0.187814708992527	2.97294135538142	0.00294960802212065	0.00466766726478165
CTD-2555O16.4	14.8319162852104	-0.437333840336666	0.149909942298011	-2.97285308655003	0.00295045637106795	0.00466865940970067
HERC2P9	188.833484355673	-0.184283599970972	0.0631143733151264	-2.97220820636263	0.00295666105267263	0.00467812637145561
FAM127C	207.786746927893	0.15417901517763	0.0520539082581207	2.97218423741563	0.00295689189798749	0.00467814062155902
CBLN3	8.21529740410535	-0.687768103593421	0.215534603545745	-2.97132005769162	0.00296522582053053	0.00469097390122639
RP11-727A23.5	54.0748161039952	-0.301405984536919	0.100493430897427	-2.9707561920445	0.0029706751414018	0.00469924217102101
RP11-15B17.4	5.93871635533887	-0.646483039739987	0.215282788728554	-2.97054261020164	0.00297274162791421	0.00470215837454656
IGBP1	761.140452203423	-0.1500517321774	0.0505849512509331	-2.97024617597693	0.00297561191658108	0.00470599250763925
ZNF394	630.794041372035	-0.109411127401903	0.0365624270192733	-2.97026574866751	0.00297542232182287	0.00470599250763925
MIR133A1HG	31.0701991554002	-0.515339251448557	0.162481775722604	-2.9701251786598	0.00297678422585981	0.00470749349493301
SUZ12P1	143.972203790374	-0.244760433375898	0.0817951835535448	-2.96976534358106	0.00298027305808555	0.00471265733720067
RPRD1A	1490.19893520035	0.120419614181897	0.0405481523473931	2.96958502542544	0.00298202276120772	0.00471507055472358
SNORD101	22.3844656270723	0.457329810822291	0.160876939073977	2.9694290306493	0.00298353720037062	0.00471711144709969
RP11-1123I8.1	6.19182023868942	0.844006668585497	0.275558552350812	2.96917022065493	0.00298605134519514	0.00472072947458829
AGPAT3	1442.45116122312	-0.236529404585603	0.0769083644225795	-2.96914738260976	0.00298627329244157	0.00472072947458829
RP11-229D13.3	27.328704903688	-0.381170995253519	0.128459921478907	-2.96911807469941	0.00298655813790624	0.00472082587603379
SLC10A5	14.5590649378831	-0.539136744682045	0.189408167104469	-2.96909161134225	0.00298681535827139	0.00472087859955232
IQCD	10.2631944603854	-0.482264318317544	0.195059540164938	-2.96886314004392	0.00298903691000105	0.00472403585086578
ARHGEF10L	1534.7168601072	-0.179879259727635	0.0605590801635218	-2.96850041765302	0.00299256695534605	0.00472926048818477
BUD13P1	12.2245726881491	-0.464174168160713	0.176495716773892	-2.9684447701339	0.00299310885814836	0.00472976242792302
MYLIP	761.532864932126	0.180966493640915	0.0606940860603152	2.96824825523011	0.00299502326229745	0.00473243298031834
RP11-179B2.2	5.99085694054372	-0.574745106249841	0.20853034160581	-2.96821159677278	0.00299538050437524	0.00473264284680191
HN1L	1383.95074797928	0.124980861664808	0.0418985128216741	2.96722246248949	0.00300503445169986	0.00474754019459445
ADCK5	95.7132215853429	0.177042761829737	0.0592477036579065	2.96717142529953	0.00300553334370867	0.00474797266852411
KLHDC9	8.98786421820821	-0.465606612389366	0.160698420207448	-2.9669277224273	0.00300791659781707	0.00475138166402744
BARX2	376.117967636757	0.289694514983015	0.0995223036072101	2.96637688402418	0.00301330978912296	0.00475954436619167
S100A3	62.870037681659	0.439765947524398	0.188220285993768	2.96588291223769	0.00301815370686209	0.00476683832911233
PAOX	64.7120497681585	0.298494486168033	0.0992703354466298	2.96560666739154	0.00302086567653969	0.00477076427670704
ST3GAL4-AS1	12.8035361260261	-0.420250653237777	0.138686025761382	-2.96547584483152	0.00302215077210231	0.00477243638476064
TMEM204	63.3491745354417	-0.293746618458268	0.0997960850263744	-2.96399901382483	0.00303669260033306	0.00479504107493998
NAT9	223.237873502232	0.167033796698159	0.0566863437646644	2.96303402873876	0.00304622890929877	0.00480973908649988
QKI	2878.65571117814	-0.0973412776052315	0.0329791009735434	-2.96296189787044	0.00304694282689726	0.00481050612664591
SBDS	1943.51324741993	0.149804317496484	0.0504532809542604	2.961787450214	0.00305858845076721	0.00482853071191637
RP11-6L6.4	8.28272562273492	-0.527519660889454	0.17688982752832	-2.96129659297341	0.00306346772499848	0.00483587150121775
SULT1B1	9.63081044719578	0.756368306344281	0.244298796218415	2.96114362783448	0.00306498969633893	0.00483791187996971
KDELR3	125.202795650287	-0.329736045565327	0.10753891818994	-2.95926448505157	0.00308374312779999	0.00486698502705669
FAXDC2	598.219741567673	-0.317801789687478	0.107015901127808	-2.95925179167808	0.00308387015987915	0.00486698502705669
GNA14	21.7018478420944	0.617622673111108	0.187770534326038	2.95912234355515	0.00308516591652618	0.00486866563254539
RPS28P7	117.202048245625	0.204365467158525	0.0689430211731868	2.95884897920372	0.00308790388476146	0.00487262175410429
TBC1D31	214.653209703138	0.129975920792425	0.0439343100596503	2.95882210901119	0.00308817313134462	0.00487268200477331
ECI2	137.161565364856	-0.178834322901032	0.0609794591337242	-2.95872160112763	0.00308918043727695	0.00487390670816223
CDAN1	180.668338155291	0.16728270606706	0.0564026526756628	2.95862400929772	0.0030901588047367	0.00487472089125431
ZNF672	426.33555162782	0.123138119096136	0.0417299131259147	2.95863182411531	0.00309008045003517	0.00487472089125431
ADCK1	97.2512353498993	0.221502347379562	0.0741859195019522	2.95856518117984	0.00309074869874506	0.00487528674987926
ZFAND1	790.922325542754	-0.136218291627146	0.0461471556730328	-2.9585252827139	0.0030911488356927	0.0048755532271569
CERKL	32.331214889813	0.373861910454144	0.125674140013536	2.95832221428501	0.0030931861168099	0.0048784016776073
ASCL2	135.48577675799	-0.226719650444427	0.076194249611538	-2.95792934013481	0.00309713109715624	0.00488425819449827
ZFP91	1799.69299819013	0.105944377212579	0.0358186703076728	2.95785971437849	0.00309783071095855	0.00488499618879039
HLA-DRB5	301.00104771555	0.450577130577143	0.135325402758919	2.95740720776279	0.00310238110236107	0.004891805943367
HIVEP2	1776.02590611607	-0.178021891367	0.0607496536832068	-2.95634464088465	0.00311309020655189	0.00490832495519748
LINC00365	6.46974631532024	-0.748171860418942	0.246114115100289	-2.95597938246547	0.00311677924880201	0.00491377398315915
STARD4-AS1	53.9699723365486	0.300508245095681	0.102748854234554	2.95531699233773	0.00312347943545139	0.00492396907638475
RNU6-33P	9.41217245034093	-0.527547598680434	0.176438448071861	-2.95503823035262	0.00312630308335789	0.00492805198249748
SPACA4	8.44089034224811	0.619210703681991	0.232090957165695	2.95497389966219	0.00312695503495619	0.00492871124726483
GTF2IP20	53.6321314210376	-0.265244611352176	0.0893927973518709	-2.95409495293904	0.00313587503849363	0.00494240155543749
CENPQ	158.627102439708	0.239389574079601	0.0831301628325535	2.95391055285576	0.00313774936666937	0.0049449860731129
